causa_acidente,data_inversa,mortos,ano
falta de atenção,2007-02-01,0,2007
outras,2007-02-01,0,2007
defeito na via,2007-07-01,0,2007
outras,2007-11-01,0,2007
falta de atenção,2007-01-19,0,2007
falta de atenção,2007-01-20,0,2007
não guardar distância de segurança,2007-01-21,0,2007
outras,2007-01-29,0,2007
outras,2007-01-02,0,2007
defeito na via,2007-01-30,0,2007
outras,2007-02-02,0,2007
outras,2007-02-02,0,2007
velocidade incompatível,2007-03-02,1,2007
falta de atenção,2007-09-02,0,2007
outras,2007-10-02,0,2007
outras,2007-02-19,0,2007
outras,2007-02-20,0,2007
falta de atenção,2007-02-20,0,2007
não guardar distância de segurança,2007-02-20,0,2007
falta de atenção,2007-02-17,0,2007
outras,2007-02-27,0,2007
falta de atenção,2007-02-26,0,2007
velocidade incompatível,2007-03-03,0,2007
ingestão de álcool,2007-02-27,0,2007
defeito na via,2007-03-16,0,2007
outras,2007-03-25,0,2007
ultrapassagem indevida,2007-01-04,0,2007
dormindo,2007-08-04,0,2007
outras,2007-08-04,1,2007
ultrapassagem indevida,2007-07-04,0,2007
falta de atenção,2007-08-04,0,2007
outras,2007-10-04,0,2007
falta de atenção,2007-04-13,0,2007
outras,2007-04-16,0,2007
defeito na via,2007-04-16,0,2007
falta de atenção,2007-04-16,0,2007
não guardar distância de segurança,2007-04-17,0,2007
falta de atenção,2007-04-22,0,2007
não guardar distância de segurança,2007-04-22,0,2007
defeito na via,2007-04-21,0,2007
ultrapassagem indevida,2007-04-26,0,2007
ultrapassagem indevida,2007-04-29,0,2007
outras,2007-04-28,0,2007
desobediência à sinalização,2007-04-29,2,2007
falta de atenção,2007-04-30,0,2007
falta de atenção,2007-04-29,0,2007
falta de atenção,2007-04-29,0,2007
outras,2007-06-05,0,2007
ultrapassagem indevida,2007-06-05,0,2007
falta de atenção,2007-05-27,0,2007
outras,2007-05-30,0,2007
não guardar distância de segurança,2007-05-27,0,2007
defeito na via,2007-08-06,0,2007
defeito na via,2007-08-06,0,2007
falta de atenção,2007-10-06,0,2007
outras,2007-10-06,0,2007
não guardar distância de segurança,2007-06-16,0,2007
outras,2007-06-17,0,2007
dormindo,2007-06-18,0,2007
outras,2007-06-18,0,2007
outras,2007-01-07,1,2007
defeito na via,2007-05-07,0,2007
outras,2007-09-07,0,2007
falta de atenção,2007-07-15,0,2007
outras,2007-07-19,0,2007
animais na pista,2007-07-19,0,2007
defeito na via,2007-07-22,0,2007
falta de atenção,2007-07-28,0,2007
falta de atenção,2007-07-29,0,2007
falta de atenção,2007-12-08,0,2007
outras,2007-08-17,0,2007
defeito mecânico em veículo,2007-08-18,0,2007
desobediência à sinalização,2007-08-20,0,2007
falta de atenção,2007-08-25,0,2007
ultrapassagem indevida,2007-08-26,0,2007
defeito na via,2007-08-26,0,2007
outras,2007-02-09,0,2007
defeito na via,2007-06-09,0,2007
outras,2007-07-09,0,2007
falta de atenção,2007-07-09,0,2007
defeito na via,2007-07-09,0,2007
falta de atenção,2007-12-09,0,2007
outras,2007-09-15,0,2007
falta de atenção,2007-09-22,0,2007
não guardar distância de segurança,2007-09-23,0,2007
ingestão de álcool,2007-09-30,0,2007
falta de atenção,2007-04-10,0,2007
falta de atenção,2007-07-10,1,2007
defeito mecânico em veículo,2007-07-10,0,2007
outras,2007-10-14,0,2007
outras,2007-10-14,0,2007
outras,2007-10-15,0,2007
outras,2007-10-24,0,2007
outras,2007-04-11,0,2007
velocidade incompatível,2007-04-11,0,2007
falta de atenção,2007-05-10,0,2007
dormindo,2007-10-11,0,2007
dormindo,2007-11-11,0,2007
falta de atenção,2007-11-14,0,2007
dormindo,2007-11-19,0,2007
falta de atenção,2007-11-19,0,2007
animais na pista,2007-11-21,0,2007
velocidade incompatível,2007-11-22,1,2007
falta de atenção,2007-11-26,0,2007
não guardar distância de segurança,2007-10-14,0,2007
dormindo,2007-07-12,0,2007
outras,2007-09-12,0,2007
falta de atenção,2007-12-13,0,2007
defeito mecânico em veículo,2007-12-15,0,2007
outras,2007-12-19,0,2007
ultrapassagem indevida,2007-12-20,0,2007
animais na pista,2007-12-23,0,2007
defeito na via,2007-12-22,0,2007
dormindo,2007-12-25,0,2007
ingestão de álcool,2007-12-21,0,2007
falta de atenção,2007-12-29,0,2007
falta de atenção,2007-12-31,0,2007
ingestão de álcool,2007-02-04,0,2007
outras,2007-04-28,1,2007
outras,2008-05-01,0,2008
outras,2008-11-01,0,2008
falta de atenção,2008-01-18,0,2008
outras,2008-01-20,0,2008
velocidade incompatível,2008-01-24,0,2008
defeito mecânico em veículo,2008-01-25,0,2008
outras,2008-01-25,0,2008
falta de atenção,2008-01-23,0,2008
não guardar distância de segurança,2008-01-26,0,2008
falta de atenção,2008-01-29,0,2008
defeito na via,2008-01-30,0,2008
outras,2008-02-02,0,2008
outras,2008-04-02,0,2008
não guardar distância de segurança,2008-03-02,0,2008
falta de atenção,2008-08-02,0,2008
outras,2008-02-17,0,2008
outras,2008-02-19,0,2008
não guardar distância de segurança,2008-02-17,0,2008
animais na pista,2008-02-16,0,2008
outras,2008-02-25,1,2008
outras,2008-02-03,0,2008
outras,2008-02-03,0,2008
defeito na via,2008-02-29,0,2008
defeito na via,2008-02-29,0,2008
ingestão de álcool,2008-04-03,0,2008
velocidade incompatível,2008-06-03,0,2008
falta de atenção,2008-08-03,0,2008
defeito na via,2008-08-03,0,2008
velocidade incompatível,2008-09-03,0,2008
outras,2008-03-21,0,2008
velocidade incompatível,2008-03-21,0,2008
falta de atenção,2008-03-19,0,2008
defeito na via,2008-03-23,0,2008
falta de atenção,2008-03-30,0,2008
outras,2008-03-30,0,2008
defeito mecânico em veículo,2008-03-30,0,2008
falta de atenção,2008-12-04,0,2008
animais na pista,2008-12-04,0,2008
defeito na via,2008-04-13,0,2008
defeito na via,2008-04-13,0,2008
defeito na via,2008-04-13,0,2008
defeito na via,2008-04-13,0,2008
ultrapassagem indevida,2008-04-17,0,2008
falta de atenção,2008-04-26,0,2008
outras,2008-04-27,0,2008
não guardar distância de segurança,2008-02-05,0,2008
velocidade incompatível,2008-04-05,0,2008
não guardar distância de segurança,2008-04-05,0,2008
velocidade incompatível,2008-07-05,3,2008
falta de atenção,2008-08-05,0,2008
defeito na via,2008-07-05,0,2008
defeito na via,2008-05-13,0,2008
defeito na via,2008-05-17,1,2008
defeito mecânico em veículo,2008-05-27,0,2008
defeito na via,2008-05-31,0,2008
não guardar distância de segurança,2008-05-31,0,2008
falta de atenção,2008-01-06,0,2008
falta de atenção,2008-03-06,0,2008
ingestão de álcool,2008-01-06,0,2008
falta de atenção,2008-06-13,0,2008
falta de atenção,2008-06-19,0,2008
falta de atenção,2008-06-21,0,2008
outras,2008-06-27,0,2008
falta de atenção,2008-06-29,0,2008
defeito mecânico em veículo,2008-06-26,0,2008
falta de atenção,2008-06-07,0,2008
falta de atenção,2008-06-07,0,2008
falta de atenção,2008-07-28,0,2008
falta de atenção,2008-03-08,0,2008
falta de atenção,2008-04-08,0,2008
falta de atenção,2008-06-08,0,2008
outras,2008-05-08,0,2008
desobediência à sinalização,2008-06-08,0,2008
outras,2008-12-08,0,2008
outras,2008-10-08,0,2008
falta de atenção,2008-08-14,0,2008
falta de atenção,2008-08-27,0,2008
outras,2008-03-09,0,2008
falta de atenção,2008-08-30,0,2008
velocidade incompatível,2008-06-09,0,2008
falta de atenção,2008-07-09,0,2008
falta de atenção,2008-07-09,0,2008
falta de atenção,2008-07-09,0,2008
não guardar distância de segurança,2008-12-09,0,2008
outras,2008-09-14,0,2008
outras,2008-06-09,0,2008
defeito mecânico em veículo,2008-09-25,0,2008
outras,2008-06-10,0,2008
outras,2008-01-10,0,2008
falta de atenção,2008-03-10,0,2008
outras,2008-07-10,0,2008
falta de atenção,2008-10-27,0,2008
falta de atenção,2008-10-24,0,2008
não guardar distância de segurança,2008-10-30,0,2008
defeito mecânico em veículo,2008-02-11,0,2008
defeito mecânico em veículo,2008-02-11,0,2008
falta de atenção,2008-03-11,0,2008
ingestão de álcool,2008-01-11,1,2008
outras,2008-05-11,0,2008
outras,2008-12-11,0,2008
falta de atenção,2008-11-15,0,2008
defeito mecânico em veículo,2008-11-22,0,2008
falta de atenção,2008-11-23,0,2008
outras,2008-08-12,0,2008
outras,2008-09-12,0,2008
outras,2008-12-15,0,2008
outras,2008-12-16,0,2008
outras,2008-12-18,0,2008
não guardar distância de segurança,2008-12-20,0,2008
animais na pista,2008-12-22,0,2008
outras,2008-12-23,0,2008
falta de atenção,2008-12-25,0,2008
falta de atenção,2008-12-27,0,2008
outras,2008-12-30,0,2008
falta de atenção,2008-12-31,0,2008
falta de atenção,2008-12-19,0,2008
outras,2009-02-01,0,2009
outras,2009-04-01,0,2009
não guardar distância de segurança,2009-04-01,0,2009
outras,2009-05-01,1,2009
defeito na via,2009-11-01,0,2009
falta de atenção,2009-01-13,0,2009
falta de atenção,2009-01-25,0,2009
falta de atenção,2009-01-24,0,2009
defeito mecânico em veículo,2009-01-28,0,2009
animais na pista,2009-06-02,0,2009
ultrapassagem indevida,2009-01-31,0,2009
outras,2009-02-22,0,2009
falta de atenção,2009-02-21,0,2009
outras,2009-02-21,0,2009
outras,2009-02-24,0,2009
defeito na via,2009-04-03,0,2009
falta de atenção,2009-03-19,0,2009
outras,2009-03-22,0,2009
falta de atenção,2009-03-21,0,2009
falta de atenção,2009-03-23,0,2009
falta de atenção,2009-05-04,0,2009
outras,2009-08-04,0,2009
velocidade incompatível,2009-11-04,0,2009
defeito mecânico em veículo,2009-11-04,0,2009
falta de atenção,2009-11-04,0,2009
não guardar distância de segurança,2009-11-04,0,2009
falta de atenção,2009-09-04,0,2009
velocidade incompatível,2009-04-16,0,2009
falta de atenção,2009-12-04,0,2009
falta de atenção,2009-04-17,0,2009
falta de atenção,2009-04-19,0,2009
outras,2009-04-15,1,2009
falta de atenção,2009-04-19,0,2009
defeito na via,2009-04-19,0,2009
outras,2009-04-19,0,2009
falta de atenção,2009-04-21,0,2009
não guardar distância de segurança,2009-04-25,0,2009
falta de atenção,2009-04-21,0,2009
outras,2009-04-27,0,2009
falta de atenção,2009-04-29,0,2009
falta de atenção,2009-04-27,0,2009
falta de atenção,2009-01-05,0,2009
outras,2009-11-05,0,2009
dormindo,2009-09-05,0,2009
outras,2009-05-13,0,2009
falta de atenção,2009-05-15,0,2009
outras,2009-05-17,0,2009
ingestão de álcool,2009-05-21,0,2009
ultrapassagem indevida,2009-05-28,0,2009
dormindo,2009-05-31,0,2009
defeito mecânico em veículo,2009-05-31,0,2009
falta de atenção,2009-05-31,0,2009
não guardar distância de segurança,2009-05-31,0,2009
outras,2009-01-06,0,2009
falta de atenção,2009-05-29,0,2009
falta de atenção,2009-02-06,0,2009
outras,2009-05-30,0,2009
outras,2009-04-06,0,2009
defeito mecânico em veículo,2009-04-06,0,2009
velocidade incompatível,2009-03-06,0,2009
dormindo,2009-05-31,0,2009
dormindo,2009-06-06,0,2009
outras,2009-05-31,0,2009
outras,2009-02-06,0,2009
ultrapassagem indevida,2009-07-06,0,2009
falta de atenção,2009-05-31,0,2009
falta de atenção,2009-11-06,0,2009
falta de atenção,2009-07-06,0,2009
falta de atenção,2009-07-06,0,2009
defeito mecânico em veículo,2009-10-06,0,2009
defeito mecânico em veículo,2009-12-06,0,2009
falta de atenção,2009-06-18,0,2009
defeito mecânico em veículo,2009-06-15,0,2009
ultrapassagem indevida,2009-06-21,0,2009
falta de atenção,2009-06-28,0,2009
falta de atenção,2009-05-07,0,2009
outras,2009-06-13,0,2009
outras,2009-10-07,0,2009
dormindo,2009-07-13,0,2009
outras,2009-07-17,0,2009
ingestão de álcool,2009-07-18,0,2009
defeito mecânico em veículo,2009-07-20,0,2009
outras,2009-07-19,0,2009
não guardar distância de segurança,2009-07-24,0,2009
dormindo,2009-07-22,0,2009
outras,2009-02-08,0,2009
ingestão de álcool,2009-02-08,0,2009
ingestão de álcool,2009-08-08,0,2009
dormindo,2009-08-22,0,2009
outras,2009-08-24,0,2009
defeito na via,2009-08-30,0,2009
outras,2009-08-31,0,2009
defeito mecânico em veículo,2009-08-31,0,2009
defeito na via,2009-06-09,0,2009
dormindo,2009-07-09,0,2009
desobediência à sinalização,2009-08-30,0,2009
falta de atenção,2009-05-09,0,2009
falta de atenção,2009-06-09,0,2009
outras,2009-07-09,0,2009
falta de atenção,2009-09-15,0,2009
ingestão de álcool,2009-09-16,0,2009
ingestão de álcool,2009-07-09,0,2009
ingestão de álcool,2009-09-27,0,2009
não guardar distância de segurança,2009-06-09,0,2009
falta de atenção,2009-01-10,0,2009
falta de atenção,2009-09-10,0,2009
outras,2009-10-10,0,2009
animais na pista,2009-10-16,0,2009
defeito mecânico em veículo,2009-10-17,0,2009
outras,2009-10-20,0,2009
defeito mecânico em veículo,2009-10-17,0,2009
outras,2009-10-24,0,2009
outras,2009-10-24,0,2009
falta de atenção,2009-10-24,0,2009
falta de atenção,2009-10-25,0,2009
não guardar distância de segurança,2009-10-25,0,2009
outras,2009-10-30,0,2009
velocidade incompatível,2009-10-31,0,2009
defeito mecânico em veículo,2009-10-31,0,2009
defeito mecânico em veículo,2009-01-11,0,2009
outras,2009-01-11,0,2009
ingestão de álcool,2009-10-31,0,2009
não guardar distância de segurança,2009-02-11,0,2009
falta de atenção,2009-02-11,0,2009
falta de atenção,2009-11-14,0,2009
falta de atenção,2009-11-15,0,2009
ingestão de álcool,2009-11-14,0,2009
não guardar distância de segurança,2009-11-14,0,2009
falta de atenção,2009-01-12,0,2009
animais na pista,2009-03-12,0,2009
velocidade incompatível,2009-06-12,3,2009
falta de atenção,2009-07-12,0,2009
falta de atenção,2009-10-12,0,2009
defeito mecânico em veículo,2009-12-13,0,2009
dormindo,2009-12-15,0,2009
defeito mecânico em veículo,2009-12-15,0,2009
velocidade incompatível,2009-12-20,0,2009
falta de atenção,2009-12-29,0,2009
